,umpire,favor_by_ump_sum,num_games,team,temp_team
0,Alfonso Marquez,-10.51,24,SF,SF
1,Doug Eddings,-9.53,18,DET,DET
2,Bill Miller,-8.84,22,STL,STL
3,Dan Bellino,-8.7,30,PHI,PHI
4,Bruce Dreckman,-8.56,20,STL,STL
5,Phil Cuzzi,-8.27,19,BOS,BOS
6,Alfonso Marquez,-7.79,24,DET,DET
7,Todd Tichenor,-7.78,20,CWS,CWS
8,Ron Kulpa,-7.56,16,CIN,CIN
9,Manny Gonzalez,-7.4,22,MIL,MIL
10,Lance Barksdale,-7.36,26,WSH,WSH
11,Jeff Nelson,-7.36,23,COL,COL
12,Tripp Gibson,-7.29,20,WSH,WSH
13,Nic Lentz,-7.28,19,PIT,PIT
14,Lance Barksdale,-7.27,23,BAL,BAL
15,Dan Iassogna,-7.24,23,TB,TB
16,James Hoye,-7.12,23,MIA,MIA
17,Gabe Morales,-6.95,29,AZ,AZ
18,Bill Miller,-6.94,23,MIN,MIN
19,Chris Segal,-6.83,16,TB,TB
20,Lance Barksdale,-6.83,25,TB,TB
21,Scott Barry,-6.83,18,TB,TB
22,Manny Gonzalez,-6.77,22,BAL,BAL
23,Mike Estabrook,-6.65,20,TEX,TEX
24,Lance Barrett,-6.65,18,COL,COL
25,D.J. Reyburn,-6.61,22,PIT,PIT
26,Marvin Hudson,-6.6,23,SEA,SEA
27,Larry Vanover,-6.6,14,CHC,CHC
28,Nestor Ceja,-6.6,15,HOU,HOU
29,Mark Ripperger,-6.53,24,HOU,HOU
30,Andy Fletcher,-6.43,16,KC,KC
31,Mike Muchlinski,-6.32,31,ATH,ATH
32,Mark Wegner,-6.32,15,PIT,PIT
33,Gary Cederstrom,-6.28,14,BAL,BAL
34,Stu Scheurwater,-6.22,24,PHI,PHI
35,Mike Winters,-6.21,12,PIT,PIT
36,Adam Beck,-6.21,9,SD,SD
37,Gerry Davis,-6.18,18,TEX,TEX
38,Carlos Torres,-6.17,21,KC,KC
39,Ted Barrett,-6.13,21,CHC,CHC
40,Chris Conroy,-6.1,22,KC,KC
41,Gabe Morales,-6.06,21,BAL,BAL
42,Dana DeMuth,-6.06,7,CWS,CWS
43,Will Little,-6.05,13,PIT,PIT
44,Larry Vanover,-6.04,19,MIA,MIA
45,Sean Barber,-6.04,23,CIN,CIN
46,Paul Nauert,-6.02,15,ATL,ATL
47,Rob Drake,-5.99,22,ATL,ATL
48,Nick Mahrley,-5.95,18,HOU,HOU
49,Chad Whitson,-5.91,15,LAA,LAA
50,Marvin Hudson,-5.86,26,ATH,ATH
51,Bill Miller,-5.85,22,MIA,MIA
52,Quinn Wolcott,-5.79,24,ATL,ATL
53,Tim Timmons,-5.76,10,PHI,PHI
54,Carlos Torres,-5.7,26,WSH,WSH
55,Lance Barrett,-5.67,23,MIL,MIL
56,Quinn Wolcott,-5.67,22,KC,KC
57,Mike Winters,-5.61,12,NYM,NYM
58,Mike Winters,-5.57,8,CIN,CIN
59,Jim Wolf,-5.57,22,LAD,LAD
60,Chad Fairchild,-5.56,15,HOU,HOU
61,Mark Wegner,-5.51,23,BAL,BAL
62,Scott Barry,-5.46,15,SEA,SEA
63,Jordan Baker,-5.45,20,ATH,ATH
64,Jansen Visconti,-5.44,13,TB,TB
65,Paul Nauert,-5.42,7,MIN,MIN
66,Scott Barry,-5.41,11,SD,SD
67,Chad Fairchild,-5.41,25,WSH,WSH
68,Andy Fletcher,-5.4,22,SEA,SEA
69,Tom Hallion,-5.39,12,KC,KC
70,John Tumpane,-5.35,23,KC,KC
71,Chad Whitson,-5.27,13,PIT,PIT
72,Alan Porter,-5.24,25,TEX,TEX
73,Mike Muchlinski,-5.24,20,WSH,WSH
74,Jim Wolf,-5.22,18,BAL,BAL
75,Manny Gonzalez,-5.2,22,MIA,MIA
76,Laz Diaz,-5.19,23,NYY,NYY
77,Rob Drake,-5.17,13,CHC,CHC
78,Pat Hoberg,-5.17,15,WSH,WSH
79,Tim Timmons,-5.16,13,KC,KC
80,Paul Emmel,-5.13,9,KC,KC
81,Lance Barrett,-5.12,26,TEX,TEX
82,Larry Vanover,-5.12,15,SF,SF
83,Joe West,-5.1,15,HOU,HOU
84,Chad Whitson,-5.08,21,WSH,WSH
85,Mark Carlson,-5.07,13,BOS,BOS
86,Mark Carlson,-5.05,14,AZ,AZ
87,Phil Cuzzi,-5.04,21,STL,STL
88,Sean Barber,-5.01,23,BAL,BAL
89,Lance Barrett,-5.0,21,BAL,BAL
90,Quinn Wolcott,-5.0,17,WSH,WSH
91,Mark Wegner,-4.99,22,HOU,HOU
92,Shane Livensparger,-4.95,15,CIN,CIN
93,Jordan Baker,-4.93,22,CHC,CHC
94,Jim Wolf,-4.91,16,WSH,WSH
95,Mark Carlson,-4.87,17,ATH,ATH
96,Ryan Blakney,-4.85,17,WSH,WSH
97,Mark Carlson,-4.81,18,MIA,MIA
98,Larry Vanover,-4.79,16,AZ,AZ
99,Tony Randazzo,-4.78,16,CIN,CIN
100,Ted Barrett,-4.78,14,KC,KC
101,Phil Cuzzi,-4.76,19,CHC,CHC
102,Chad Whitson,-4.76,23,CIN,CIN
103,Ben May,-4.76,18,PHI,PHI
104,Brian Knight,-4.73,16,KC,KC
105,CB Bucknor,-4.72,19,SD,SD
106,Chad Fairchild,-4.7,19,CWS,CWS
107,D.J. Reyburn,-4.69,16,TEX,TEX
108,Roberto Ortiz,-4.69,14,KC,KC
109,Sam Holbrook,-4.68,13,ATH,ATH
110,Angel Hernandez,-4.65,20,TOR,TOR
111,Pat Hoberg,-4.65,17,CIN,CIN
112,D.J. Reyburn,-4.65,20,TB,TB
113,Vic Carapazza,-4.62,27,HOU,HOU
114,CB Bucknor,-4.6,26,DET,DET
115,Brian Knight,-4.6,23,TEX,TEX
116,Larry Vanover,-4.57,17,LAA,LAA
117,Jerry Layne,-4.56,10,PHI,PHI
118,Larry Vanover,-4.55,17,MIN,MIN
119,Mark Carlson,-4.54,15,CIN,CIN
120,John Tumpane,-4.52,24,BAL,BAL
121,Doug Eddings,-4.52,19,HOU,HOU
122,Dan Iassogna,-4.51,23,MIA,MIA
123,Paul Nauert,-4.51,14,DET,DET
124,Bill Welke,-4.5,14,NYM,NYM
125,Quinn Wolcott,-4.5,22,HOU,HOU
126,Chad Fairchild,-4.48,18,CHC,CHC
127,Sam Holbrook,-4.44,15,STL,STL
128,Brian O'Nora,-4.44,19,TOR,TOR
129,Bruce Dreckman,-4.43,13,MIA,MIA
130,Jeff Nelson,-4.43,14,WSH,WSH
131,Gabe Morales,-4.42,16,NYM,NYM
132,Rob Drake,-4.41,18,NYY,NYY
133,Jansen Visconti,-4.41,17,CWS,CWS
134,Ed Hickox,-4.39,14,NYY,NYY
135,Chris Conroy,-4.39,17,MIN,MIN
136,Phil Cuzzi,-4.38,17,DET,DET
137,Cory Blaser,-4.38,20,CWS,CWS
138,Brian O'Nora,-4.35,12,ATH,ATH
139,Laz Diaz,-4.32,20,HOU,HOU
140,Cory Blaser,-4.28,22,BOS,BOS
141,Ted Barrett,-4.28,19,SD,SD
142,Adam Hamari,-4.26,27,LAA,LAA
143,Marvin Hudson,-4.26,21,CIN,CIN
144,Gerry Davis,-4.24,8,CHC,CHC
145,Brian Walsh,-4.23,7,STL,STL
146,Marvin Hudson,-4.2,27,DET,DET
147,Tim Timmons,-4.19,13,TB,TB
148,Adam Hamari,-4.19,23,KC,KC
149,Nick Mahrley,-4.19,15,SD,SD
150,Andy Fletcher,-4.17,18,CIN,CIN
151,Nic Lentz,-4.17,15,STL,STL
152,Ron Kulpa,-4.16,24,KC,KC
153,Mark Carlson,-4.15,21,WSH,WSH
154,Scott Barry,-4.14,20,MIN,MIN
155,Rob Drake,-4.12,16,DET,DET
156,Stu Scheurwater,-4.12,16,BAL,BAL
157,Roberto Ortiz,-4.12,17,PIT,PIT
158,Bruce Dreckman,-4.12,16,HOU,HOU
159,Mike Muchlinski,-4.11,24,MIN,MIN
160,Gerry Davis,-4.11,13,COL,COL
161,Lance Barksdale,-4.1,16,TEX,TEX
162,Bill Miller,-4.08,24,CHC,CHC
163,Ted Barrett,-4.07,18,CLE,CLE
164,Jeff Nelson,-4.06,13,TEX,TEX
165,Jim Joyce,-4.06,6,ATH,ATH
166,D.J. Reyburn,-4.06,23,ATH,ATH
167,Tim Timmons,-4.06,11,SEA,SEA
168,James Hoye,-4.04,24,TB,TB
169,Gerry Davis,-4.02,12,CLE,CLE
170,Paul Schrieber,-4.02,3,CIN,CIN
171,Stu Scheurwater,-4.01,21,SF,SF
172,Brian Knight,-4.0,10,MIL,MIL
173,Sam Holbrook,-3.99,16,CIN,CIN
174,Ron Kulpa,-3.99,16,MIL,MIL
175,Jim Wolf,-3.99,19,PIT,PIT
176,Cory Blaser,-3.99,24,SEA,SEA
177,Tony Randazzo,-3.98,13,TEX,TEX
178,Kerwin Danley,-3.98,7,TEX,TEX
179,Chad Fairchild,-3.95,21,NYY,NYY
180,Hunter Wendelstedt,-3.95,18,LAD,LAD
181,Ryan Additon,-3.95,16,CIN,CIN
182,Dan Iassogna,-3.94,22,ATH,ATH
183,Andy Fletcher,-3.91,24,TB,TB
184,Chris Guccione,-3.89,25,SD,SD
185,Jerry Meals,-3.88,19,CLE,CLE
186,Adam Hamari,-3.88,18,CIN,CIN
187,Marty Foster,-3.88,13,COL,COL
188,Ramon De Jesus,-3.88,21,HOU,HOU
189,Jeff Nelson,-3.87,17,STL,STL
190,Adrian Johnson,-3.87,29,LAD,LAD
191,Hunter Wendelstedt,-3.86,22,NYM,NYM
192,John Tumpane,-3.86,12,MIA,MIA
193,Lance Barrett,-3.85,17,KC,KC
194,Tripp Gibson,-3.85,17,BAL,BAL
195,Ron Kulpa,-3.85,14,CLE,CLE
196,Tom Hallion,-3.84,12,PHI,PHI
197,Ben May,-3.83,18,CHC,CHC
198,David Rackley,-3.83,18,AZ,AZ
199,Ramon De Jesus,-3.83,17,BAL,BAL
200,Alfonso Marquez,-3.82,23,MIL,MIL
201,Rob Drake,-3.82,12,MIA,MIA
202,Chad Fairchild,-3.81,22,LAD,LAD
203,Ted Barrett,-3.8,18,STL,STL
204,Carlos Torres,-3.8,25,ATL,ATL
205,Bruce Dreckman,-3.79,16,BAL,BAL
206,Chris Guccione,-3.78,19,PIT,PIT
207,Bill Miller,-3.77,21,KC,KC
208,Brian O'Nora,-3.77,18,CWS,CWS
209,Hunter Wendelstedt,-3.76,14,KC,KC
210,Bruce Dreckman,-3.75,13,NYY,NYY
211,Alan Porter,-3.75,16,TB,TB
212,Bruce Dreckman,-3.75,15,ATL,ATL
213,Fieldin Culbreth,-3.74,14,NYY,NYY
214,Junior Valentine,-3.74,11,CIN,CIN
215,Tom Hallion,-3.73,15,MIA,MIA
216,Jerry Meals,-3.73,19,KC,KC
217,Alan Porter,-3.72,23,HOU,HOU
218,Mike Everitt,-3.72,8,CIN,CIN
219,Sean Barber,-3.72,12,AZ,AZ
220,Jeff Kellogg,-3.69,8,NYM,NYM
221,Mike Estabrook,-3.69,21,BAL,BAL
222,Chris Conroy,-3.69,19,LAD,LAD
223,Marty Foster,-3.68,10,STL,STL
224,James Hoye,-3.67,20,DET,DET
225,Jordan Baker,-3.67,17,PHI,PHI
226,Brian Knight,-3.66,17,MIA,MIA
227,Mike Winters,-3.66,11,ATH,ATH
228,Cory Blaser,-3.66,18,MIA,MIA
229,Sean Barber,-3.65,20,TOR,TOR
230,Mark Ripperger,-3.65,18,CIN,CIN
231,Brian Gorman,-3.64,13,MIL,MIL
232,Vic Carapazza,-3.64,24,COL,COL
233,Nick Mahrley,-3.64,14,LAA,LAA
234,Dan Iassogna,-3.63,18,CWS,CWS
235,Tony Randazzo,-3.62,19,TOR,TOR
236,Ben May,-3.62,20,MIA,MIA
237,Mike Winters,-3.61,6,TB,TB
238,Mike Estabrook,-3.6,23,LAD,LAD
239,Ed Hickox,-3.6,16,PIT,PIT
240,Sean Barber,-3.6,21,NYY,NYY
241,Stu Scheurwater,-3.6,21,CHC,CHC
242,Carlos Torres,-3.59,17,COL,COL
243,Tony Randazzo,-3.58,17,PHI,PHI
244,Chris Guccione,-3.58,19,CWS,CWS
245,James Hoye,-3.58,19,WSH,WSH
246,Dan Bellino,-3.57,26,CIN,CIN
247,Cory Blaser,-3.56,19,KC,KC
248,Laz Diaz,-3.56,19,SF,SF
249,Todd Tichenor,-3.56,15,WSH,WSH
250,Ramon De Jesus,-3.56,21,ATL,ATL
251,Chad Whitson,-3.56,22,KC,KC
252,Tripp Gibson,-3.55,14,MIA,MIA
253,Andy Fletcher,-3.55,16,STL,STL
254,Chris Conroy,-3.54,18,CWS,CWS
255,Brian Knight,-3.54,15,COL,COL
256,Tom Hallion,-3.53,18,ATL,ATL
257,Chris Guccione,-3.53,26,ATH,ATH
258,Todd Tichenor,-3.53,17,ATH,ATH
259,Andy Fletcher,-3.52,20,TEX,TEX
260,Hunter Wendelstedt,-3.52,18,ATH,ATH
261,Tom Hallion,-3.52,16,AZ,AZ
262,Chris Segal,-3.52,22,MIL,MIL
263,John Libka,-3.52,16,HOU,HOU
264,Chad Fairchild,-3.51,18,DET,DET
265,Clint Fagan,-3.51,7,MIA,MIA
266,Mike Muchlinski,-3.51,13,DET,DET
267,Joe West,-3.5,19,WSH,WSH
268,Jeremie Rehak,-3.5,13,MIA,MIA
269,CB Bucknor,-3.49,22,MIA,MIA
270,Ed Hickox,-3.48,16,CIN,CIN
271,Ryan Blakney,-3.48,24,CIN,CIN
272,Laz Diaz,-3.48,21,PHI,PHI
273,Mike Muchlinski,-3.47,25,MIL,MIL
274,Edwin Moscoso,-3.47,10,DET,DET
275,Mike Muchlinski,-3.45,19,CLE,CLE
276,Doug Eddings,-3.45,25,TOR,TOR
277,Jansen Visconti,-3.44,15,STL,STL
278,Vic Carapazza,-3.43,24,STL,STL
279,Ed Hickox,-3.43,8,ATH,ATH
280,Brian O'Nora,-3.43,18,PIT,PIT
281,James Hoye,-3.42,19,CWS,CWS
282,David Rackley,-3.42,18,PIT,PIT
283,Jim Reynolds,-3.41,10,NYM,NYM
284,Joe West,-3.41,11,BAL,BAL
285,Bill Welke,-3.4,11,LAD,LAD
286,Edwin Moscoso,-3.4,12,CIN,CIN
287,Joe West,-3.39,16,SF,SF
288,Dan Iassogna,-3.38,16,KC,KC
289,Alfonso Marquez,-3.38,27,PHI,PHI
290,Mike Estabrook,-3.38,18,CIN,CIN
291,Paul Nauert,-3.38,11,NYY,NYY
292,Jerry Layne,-3.37,11,CWS,CWS
293,Chad Whitson,-3.37,13,SF,SF
294,Greg Gibson,-3.36,17,CWS,CWS
295,Stu Scheurwater,-3.36,12,NYY,NYY
296,Manny Gonzalez,-3.36,17,SD,SD
297,Ramon De Jesus,-3.35,18,DET,DET
298,Adam Hamari,-3.34,28,AZ,AZ
299,Bill Welke,-3.33,14,STL,STL
300,Mark Wegner,-3.33,19,CIN,CIN
301,Mike Winters,-3.33,4,KC,KC
302,Hunter Wendelstedt,-3.32,9,AZ,AZ
303,Jim Wolf,-3.32,26,MIA,MIA
304,Bill Welke,-3.3,13,CIN,CIN
305,Jordan Baker,-3.3,18,SF,SF
306,Ryan Blakney,-3.3,17,MIA,MIA
307,Joe West,-3.29,18,TB,TB
308,Mike Estabrook,-3.29,18,LAA,LAA
309,Chad Fairchild,-3.28,18,ATH,ATH
310,Ryan Additon,-3.28,10,LAA,LAA
311,Dan Merzel,-3.28,9,WSH,WSH
312,David Rackley,-3.26,17,DET,DET
313,Hunter Wendelstedt,-3.26,14,MIL,MIL
314,Chris Guccione,-3.26,13,BAL,BAL
315,Scott Barry,-3.26,12,CHC,CHC
316,Dan Iassogna,-3.25,22,WSH,WSH
317,Stu Scheurwater,-3.25,14,MIN,MIN
318,Ryan Additon,-3.25,14,CWS,CWS
319,Dan Bellino,-3.25,19,SF,SF
320,Nic Lentz,-3.24,21,CLE,CLE
321,Dana DeMuth,-3.23,6,NYY,NYY
322,Alex Tosi,-3.22,7,HOU,HOU
323,D.J. Reyburn,-3.21,30,MIA,MIA
324,Ron Kulpa,-3.21,15,ATL,ATL
325,Chris Guccione,-3.21,13,ATL,ATL
326,Ramon De Jesus,-3.21,16,PIT,PIT
327,James Jean,-3.21,3,STL,STL
328,Tim Welke,-3.21,2,SEA,SEA
329,Tom Woodring,-3.2,7,NYY,NYY
330,Bruce Dreckman,-3.19,17,MIN,MIN
331,CB Bucknor,-3.19,22,STL,STL
332,Ramon De Jesus,-3.19,18,KC,KC
333,Lance Barrett,-3.18,26,PHI,PHI
334,Jim Wolf,-3.18,16,ATL,ATL
335,Pat Hoberg,-3.18,21,TEX,TEX
336,Tom Hanahan,-3.18,4,COL,COL
337,Bill Miller,-3.16,18,ATH,ATH
338,Laz Diaz,-3.16,15,ATH,ATH
339,Gabe Morales,-3.16,24,CLE,CLE
340,Bill Miller,-3.15,16,PHI,PHI
341,John Hirschbeck,-3.14,5,STL,STL
342,Chris Segal,-3.14,19,TEX,TEX
343,Bruce Dreckman,-3.14,18,SF,SF
344,Laz Diaz,-3.13,22,KC,KC
345,Jim Reynolds,-3.13,20,SF,SF
346,Jordan Baker,-3.13,15,TB,TB
347,Ted Barrett,-3.13,14,ATL,ATL
348,Phil Cuzzi,-3.12,17,MIN,MIN
349,Nestor Ceja,-3.12,12,ATH,ATH
350,Carlos Torres,-3.11,21,MIN,MIN
351,Jim Reynolds,-3.1,12,STL,STL
352,Hunter Wendelstedt,-3.09,17,HOU,HOU
353,Jeremie Rehak,-3.09,9,LAA,LAA
354,Mike DiMuro,-3.08,5,ATH,ATH
355,Hunter Wendelstedt,-3.08,28,BOS,BOS
356,Alan Porter,-3.08,25,MIA,MIA
357,Rob Drake,-3.07,16,KC,KC
358,Bob Davidson,-3.06,4,NYY,NYY
359,Pat Hoberg,-3.06,16,STL,STL
360,Dan Bellino,-3.05,18,KC,KC
361,Todd Tichenor,-3.04,24,BOS,BOS
362,Alan Porter,-3.04,20,STL,STL
363,Shane Livensparger,-3.03,10,BAL,BAL
364,Todd Tichenor,-3.02,23,STL,STL
365,Alan Porter,-3.01,20,CIN,CIN
366,Paul Nauert,-3.0,12,SD,SD
367,James Hoye,-3.0,16,KC,KC
368,Alex MacKay,-3.0,8,CWS,CWS
369,Steven Jaschinski,-3.0,1,PHI,PHI
370,Ben May,-2.99,17,CIN,CIN
371,Roberto Ortiz,-2.99,21,TOR,TOR
372,Nick Mahrley,-2.99,17,WSH,WSH
373,Emil Jimenez,-2.99,5,TEX,TEX
374,Alfonso Marquez,-2.98,22,BOS,BOS
375,Eric Cooper,-2.97,8,TB,TB
376,James Hoye,-2.97,18,AZ,AZ
377,Ben May,-2.97,19,NYM,NYM
378,D.J. Reyburn,-2.97,20,KC,KC
379,Charlie Ramos,-2.97,6,MIA,MIA
380,Will Little,-2.96,24,WSH,WSH
381,Tony Randazzo,-2.96,23,PIT,PIT
382,Tom Hallion,-2.96,8,TB,TB
383,Clint Vondrak,-2.96,9,ATH,ATH
384,Brian Walsh,-2.95,2,ATL,ATL
385,Brian Gorman,-2.94,7,BOS,BOS
386,Mark Wegner,-2.94,14,PHI,PHI
387,Gabe Morales,-2.94,24,PHI,PHI
388,David Rackley,-2.94,25,BOS,BOS
389,Jerry Layne,-2.93,6,TEX,TEX
390,David Rackley,-2.93,20,ATH,ATH
391,Bruce Dreckman,-2.92,20,CIN,CIN
392,Brian O'Nora,-2.91,18,NYM,NYM
393,Mark Wegner,-2.91,17,CWS,CWS
394,Bill Miller,-2.91,19,ATL,ATL
395,Brennan Miller,-2.91,10,WSH,WSH
396,Jeremy Riggs,-2.91,12,MIL,MIL
397,Brian Walsh,-2.91,7,AZ,AZ
398,Ryan Blakney,-2.9,20,CWS,CWS
399,Kerwin Danley,-2.9,8,NYM,NYM
400,Ryan Additon,-2.9,12,PHI,PHI
401,Greg Gibson,-2.89,17,KC,KC
402,Marty Foster,-2.89,12,BOS,BOS
403,Jerry Meals,-2.88,16,NYM,NYM
404,Jansen Visconti,-2.88,16,MIA,MIA
405,Jerry Meals,-2.87,13,NYY,NYY
406,John Tumpane,-2.87,28,PIT,PIT
407,Jordan Baker,-2.87,16,DET,DET
408,Paul Nauert,-2.87,9,LAA,LAA
409,Toby Basner,-2.86,5,PHI,PHI
410,Sam Holbrook,-2.86,9,MIA,MIA
411,Mike Everitt,-2.86,7,SF,SF
412,Mark Carlson,-2.86,22,CWS,CWS
413,Jeremie Rehak,-2.86,14,KC,KC
414,Tripp Gibson,-2.85,20,HOU,HOU
415,Mike DiMuro,-2.85,5,WSH,WSH
416,Gary Cederstrom,-2.85,10,BOS,BOS
417,Jim Reynolds,-2.84,13,NYY,NYY
418,Paul Emmel,-2.84,7,CIN,CIN
419,Vic Carapazza,-2.83,16,BAL,BAL
420,John Libka,-2.83,15,DET,DET
421,Marty Foster,-2.82,10,ATH,ATH
422,Sam Holbrook,-2.82,14,TB,TB
423,David Rackley,-2.82,16,MIL,MIL
424,Andy Fletcher,-2.82,19,PIT,PIT
425,Pat Hoberg,-2.81,13,ATH,ATH
426,Sean Barber,-2.81,13,PIT,PIT
427,Jeremy Riggs,-2.81,7,TEX,TEX
428,Mike Winters,-2.77,7,PHI,PHI
429,Mike Estabrook,-2.77,25,PHI,PHI
430,Mike Winters,-2.77,7,SEA,SEA
431,Dan Iassogna,-2.76,18,STL,STL
432,Nic Lentz,-2.76,15,DET,DET
433,Mike Muchlinski,-2.75,22,BOS,BOS
434,Quinn Wolcott,-2.75,17,PHI,PHI
435,Adrian Johnson,-2.75,20,KC,KC
436,Will Little,-2.75,22,ATH,ATH
437,Jordan Baker,-2.75,27,KC,KC
438,CB Bucknor,-2.74,20,PHI,PHI
439,Alfonso Marquez,-2.74,13,KC,KC
440,Greg Gibson,-2.74,12,HOU,HOU
441,Ted Barrett,-2.74,14,NYY,NYY
442,Dana DeMuth,-2.74,9,PIT,PIT
443,Adrian Johnson,-2.73,24,SD,SD
444,Vic Carapazza,-2.72,23,KC,KC
445,Ben May,-2.72,17,CWS,CWS
446,Chad Whitson,-2.72,16,BAL,BAL
447,Alfonso Marquez,-2.71,24,NYM,NYM
448,Ryan Wills,-2.7,9,ATH,ATH
449,Nic Lentz,-2.69,17,CWS,CWS
450,Brian Knight,-2.69,15,BOS,BOS
451,Tripp Gibson,-2.69,23,ATH,ATH
452,Ryan Additon,-2.69,14,SF,SF
453,Will Little,-2.68,20,DET,DET
454,Jim Wolf,-2.68,13,NYY,NYY
455,Laz Diaz,-2.67,20,NYM,NYM
456,Mike Muchlinski,-2.66,21,CWS,CWS
457,Mark Wegner,-2.66,19,MIA,MIA
458,Jim Reynolds,-2.65,12,CWS,CWS
459,Jeremie Rehak,-2.65,18,PIT,PIT
460,John Hirschbeck,-2.64,5,CLE,CLE
461,Manny Gonzalez,-2.64,23,CIN,CIN
462,Dale Scott,-2.64,4,STL,STL
463,Mark Ripperger,-2.63,22,AZ,AZ
464,Gary Cederstrom,-2.63,10,TEX,TEX
465,Ramon De Jesus,-2.63,12,TEX,TEX
466,Stu Scheurwater,-2.63,11,DET,DET
467,Ryan Blakney,-2.62,17,TB,TB
468,Cory Blaser,-2.62,21,LAD,LAD
469,Mark Wegner,-2.61,15,NYY,NYY
470,Jeff Kellogg,-2.61,3,CHC,CHC
471,Quinn Wolcott,-2.6,19,COL,COL
472,Ted Barrett,-2.6,9,DET,DET
473,Doug Eddings,-2.6,32,AZ,AZ
474,Ed Hickox,-2.6,15,KC,KC
475,Jim Wolf,-2.6,20,TEX,TEX
476,Laz Diaz,-2.6,25,WSH,WSH
477,Chris Segal,-2.6,28,MIA,MIA
478,Chris Conroy,-2.59,18,STL,STL
479,Dan Bellino,-2.58,22,ATL,ATL
480,Jeff Kellogg,-2.57,9,ATL,ATL
481,Stu Scheurwater,-2.57,13,SD,SD
482,Brian O'Nora,-2.57,14,KC,KC
483,Greg Gibson,-2.56,16,SF,SF
484,Toby Basner,-2.56,3,ATL,ATL
485,CB Bucknor,-2.56,19,BAL,BAL
486,Chad Fairchild,-2.56,16,PHI,PHI
487,Dan Merzel,-2.56,13,MIN,MIN
488,Brian Gorman,-2.55,6,CLE,CLE
489,John Bacon,-2.55,8,MIA,MIA
490,Eric Cooper,-2.54,11,COL,COL
491,Doug Eddings,-2.54,20,NYM,NYM
492,Kerwin Danley,-2.54,11,ATH,ATH
493,Angel Hernandez,-2.54,11,TB,TB
494,Fieldin Culbreth,-2.54,10,BOS,BOS
495,Nick Mahrley,-2.54,13,DET,DET
496,Gary Cederstrom,-2.53,10,LAD,LAD
497,Toby Basner,-2.53,4,TOR,TOR
498,Tripp Gibson,-2.53,18,DET,DET
499,Jerry Layne,-2.53,11,DET,DET
500,Mike Everitt,-2.52,9,TOR,TOR
501,Chris Conroy,-2.52,18,NYY,NYY
502,Scott Barry,-2.52,16,NYM,NYM
503,Ben May,-2.52,14,LAA,LAA
504,John Libka,-2.52,17,CIN,CIN
505,Brennan Miller,-2.52,10,BOS,BOS
506,John Bacon,-2.52,10,LAD,LAD
507,Gary Cederstrom,-2.51,13,CHC,CHC
508,Mike Estabrook,-2.51,21,CWS,CWS
509,Alfonso Marquez,-2.5,19,ATH,ATH
510,Doug Eddings,-2.5,19,LAD,LAD
511,Ryan Additon,-2.5,16,BAL,BAL
512,Mark Ripperger,-2.49,29,LAD,LAD
513,Marvin Hudson,-2.49,18,TB,TB
514,Ryan Additon,-2.49,14,MIA,MIA
515,Chad Fairchild,-2.48,19,STL,STL
516,Charlie Ramos,-2.48,9,MIN,MIN
517,Jen Pawol,-2.48,1,MIN,MIN
518,Lance Barrett,-2.46,15,CHC,CHC
519,Ron Kulpa,-2.46,16,MIN,MIN
520,Dan Bellino,-2.46,16,TB,TB
521,Vic Carapazza,-2.46,21,CIN,CIN
522,Brian Walsh,-2.46,4,MIN,MIN
523,Paul Emmel,-2.45,12,NYY,NYY
524,John Libka,-2.45,18,ATH,ATH
525,Todd Tichenor,-2.44,19,PHI,PHI
526,John Libka,-2.44,14,NYM,NYM
527,Greg Gibson,-2.43,15,LAD,LAD
528,Jordan Baker,-2.43,22,TEX,TEX
529,Jordan Baker,-2.43,21,ATL,ATL
530,Jansen Visconti,-2.41,18,TEX,TEX
531,Chris Conroy,-2.4,22,MIA,MIA
532,Jerry Meals,-2.4,13,ATH,ATH
533,Ryan Blakney,-2.4,28,TEX,TEX
534,Paul Emmel,-2.39,9,PIT,PIT
535,Ryan Blakney,-2.39,18,COL,COL
536,Kerwin Danley,-2.39,9,CWS,CWS
537,Mike Estabrook,-2.38,19,SF,SF
538,Carlos Torres,-2.38,22,BOS,BOS
539,Jansen Visconti,-2.37,11,ATH,ATH
540,Adam Beck,-2.37,12,TOR,TOR
541,Rob Drake,-2.36,17,NYM,NYM
542,Scott Barry,-2.36,14,CIN,CIN
543,Manny Gonzalez,-2.36,17,WSH,WSH
544,Greg Gibson,-2.35,11,DET,DET
545,James Hoye,-2.35,22,SEA,SEA
546,Nate Tomlinson,-2.35,2,SF,SF
547,Will Little,-2.34,24,PHI,PHI
548,Greg Gibson,-2.34,8,PHI,PHI
549,Tim Timmons,-2.34,8,AZ,AZ
550,Jose Navas,-2.34,4,CLE,CLE
551,Brennan Miller,-2.34,8,MIA,MIA
552,Marvin Hudson,-2.33,18,WSH,WSH
553,David Rackley,-2.33,24,BAL,BAL
554,Brian Gorman,-2.33,10,NYM,NYM
555,Chris Conroy,-2.33,16,ATH,ATH
556,Bob Davidson,-2.32,5,KC,KC
557,Marcus Pattillo,-2.32,1,STL,STL
558,Ryan Additon,-2.32,12,MIN,MIN
559,Tim Timmons,-2.31,19,MIN,MIN
560,Gerry Davis,-2.31,9,KC,KC
561,Jerry Meals,-2.31,20,TEX,TEX
562,Fieldin Culbreth,-2.31,14,CHC,CHC
